"","ARO_Term_ID","Term_Label","Parent_ID","Parent_Label","gene_class","abbreviation"
"1504","ARO:3001809","OXA-209","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1505","ARO:3004503","MCR-3.6","ARO:3003580","gene altering cell wall charge","cell wall charge","cell wall charge"
"1506","ARO:3004508","MCR-3.9","ARO:3003580","gene altering cell wall charge","cell wall charge","cell wall charge"
"1507","ARO:3006999","SST-1","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1508","ARO:3006947","LUT-5","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1509","ARO:3003151","CARB-22","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1510","ARO:3008435","OXA-1014","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1511","ARO:3003718","MSI-1","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1512","ARO:3006214","VEB-19","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1513","ARO:3004757","BKC-1","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1514","ARO:3006699","PDC-33","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1515","ARO:3004638","AAC(6')-I-48","ARO:3000345","AAC(6')","aac","aac"
"1516","ARO:3008194","GMA-2","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1517","ARO:3008699","OXA-1289","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1518","ARO:3008591","OXA-1173","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1519","ARO:3008989","PEN-A11","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1520","ARO:3006619","PDC-241","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1521","ARO:3006658","PDC-286","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1522","ARO:3005296","PDC-272","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1523","ARO:3006908","CfiA14","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1524","ARO:3008447","OXA-1026","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1525","ARO:3008525","OXA-1107","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1526","ARO:3005777","OXA-553","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1527","ARO:3002250","CARB-12","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1528","ARO:3006089","OXA-901","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1529","ARO:3007442","SSA","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1530","ARO:3008649","OXA-1239","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1531","ARO:3002516","OCH-3","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1532","ARO:3006575","PDC-196","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1533","ARO:3006886","EVM-1","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
